sentiments,tweets
attack,147.32.86.58
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.134
attack,147.32.85.26
attack,147.32.84.59
attack,220.181.94.226
attack,147.32.85.20
attack,147.32.86.96
attack,147.32.84.59
attack,147.32.86.20
attack,147.32.86.134
attack,147.32.85.20
attack,147.32.84.170
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.20
attack,147.32.84.59
attack,147.32.85.20
attack,147.32.86.20
attack,147.32.85.60
attack,147.32.85.20
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.20
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,67.195.114.49
attack,147.32.85.20
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.84.59
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.86.20
attack,67.195.114.49
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.20
attack,147.32.85.60
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.84.59
attack,147.32.86.89
attack,147.32.84.59
attack,147.32.85.20
attack,147.32.85.20
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.53
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.53
attack,147.32.86.53
attack,147.32.86.53
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.20
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.20
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.86.122
attack,147.32.86.194
attack,147.32.85.60
attack,202.59.157.38
attack,147.32.85.60
attack,147.32.86.194
attack,147.32.84.59
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.84.59
attack,67.195.114.49
attack,147.32.86.20
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.86.20
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.85.60
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.58
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.53
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.122
attack,147.32.86.122
attack,147.32.84.59
attack,147.32.86.122
attack,67.195.111.228
attack,147.32.84.59
attack,147.32.86.20
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,194.108.204.22
attack,147.32.86.20
attack,147.32.86.181
attack,147.32.84.59
attack,147.32.86.53
attack,66.249.66.211
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.84.59
attack,147.32.86.135
attack,147.32.84.59
attack,66.249.66.41
attack,147.32.86.20
attack,147.32.84.59
attack,147.32.85.20
attack,147.32.84.59
attack,147.32.86.20
attack,147.32.86.122
attack,147.32.86.122
attack,147.32.86.122
attack,147.32.86.122
attack,147.32.85.117
attack,147.32.86.20
attack,147.32.85.76
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.155
attack,147.32.86.155
attack,147.32.86.155
attack,147.32.86.155
attack,147.32.86.155
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,66.249.66.211
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.86.20
attack,147.32.86.194
attack,147.32.86.194
attack,147.32.86.89
attack,147.32.86.194
attack,147.32.85.20
attack,147.32.86.194
attack,194.108.204.22
attack,147.32.85.20
attack,147.32.86.194
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.84.59
attack,147.32.86.194
attack,147.32.84.59
attack,147.32.85.20
attack,147.32.86.122
attack,147.32.86.20
